drug_item_id,generic_name,brand_name,aliases,table_type,item_kind,category,supplier,manufacturer,has_drug_diagnosis_links,audit_status,match_method,confidence,official_source,official_code_or_license,official_name_zh,official_name_en,official_ingredient,official_atc_code,reason,recommended_next_action
141,DIPHENIDOL,KPHADOL INJECTION (DIPHENIDOL) 敵芬尼朵,,injection,injection_drug,注射藥,suspected_shift,瑞士,no,likely_correct,brand_match,high,NHI payment,AC21767100,"""優生""待芬?糖衣錠（敵芬尼朵）",DIPHENIDOL S.C. TABLETS,DIPHENIDOL HCL 50 MG,N07CA,`DIPHENIDOL` exact matched official en: `DIPHENIDOL S.C. TABLETS`,低優先；可後續補官方代碼欄位設計
142,BUTYLSCOPOLAMINE BROMIDE,SCOPOLAMINE 賜爾康 注射液,,injection,injection_drug,注射藥,suspected_shift,台裕,no,likely_correct,exact_normalized_match,high,TFDA license,衛署藥輸字第013759號,布斯拉命粉劑,BUTYLSCOPOLAMINE BROMIDE,BUTYLSCOPOLAMINE BROMIDE (EQ TO HYOSCINE-N-BUTYLBROMIDE),,`BUTYLSCOPOLAMINE BROMIDE` exact matched official en: `BUTYLSCOPOLAMINE BROMIDE`,低優先；可後續補官方代碼欄位設計
143,METOCLOPRAMIDE 10 MG,METOCLOPRAMIDE 美托拉麥注射液,,injection,injection_drug,注射藥,suspected_shift,台裕,no,likely_correct,ingredient_match,high,NHI payment,A012703100,"""井田"" 杏胃特膜衣錠","SINPRIM F.C. TABLETS ""CHINTENG""",METOCLOPRAMIDE (HCL) 10 MG,A03FA01,`METOCLOPRAMIDE 10 MG` exact matched official ingredient: `METOCLOPRAMIDE (HCL) 10 MG`,低優先；可後續補官方代碼欄位設計
144,KETOROLAC,KETOROLAC 克多炎注射液,,injection,injection_drug,注射藥,suspected_shift,永信,no,likely_correct,ingredient_match,high,TFDA license,衛部藥輸字第026963號,課多肉痛膜衣錠10毫克,"Ketorolac Tablet, 10mg",KETOROLAC,,`KETOROLAC` exact matched official ingredient: `KETOROLAC`,低優先；可後續補官方代碼欄位設計
145,EPINEPHRINE,ADRENALIN(Bosmin) 安得理那寧注射液,,injection,injection_drug,注射藥,suspected_shift,中化,no,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第014581號,保斯民注射劑,BOSMIN,EPINEPHRINE HCL,,`EPINEPHRINE` exact matched official ingredient: `EPINEPHRINE HCL`,低優先；可後續補官方代碼欄位設計
146,GENTAMICIN (SULFATE),GENTAMYCIN 健達黴素注射液,,injection,injection_drug,注射藥,億代富,壽元,no,likely_correct,ingredient_match,high,TFDA license,衛署藥輸字第009051號,硫酸僅大黴素,GENTAMYCIN SULPHATE,GENTAMICIN SULFATE,,`GENTAMICIN (SULFATE)` exact matched official ingredient: `GENTAMICIN SULFATE`,低優先；可後續補官方代碼欄位設計
147,Vit B12 (Cyanocobalamin),Vit B12 inj 氰鈷胺明,,injection,injection_drug,注射藥,億代富,南光,no,likely_correct,exact_normalized_match,high,TFDA license,衛署藥輸字第013511號,氰鈷胺明粉劑,CYANOCOBALAMIN,CYANOCOBALAMIN (VIT B12),,`Cyanocobalamin` exact matched official en: `CYANOCOBALAMIN`,低優先；可後續補官方代碼欄位設計
148,BETAMETHASONE (17-VALERATE) 1,Sinbeta derm cream 杏貝他健乳1000g/BT,,topical,topical_drug,外用藥,杏輝,杏輝,no,likely_correct,ingredient_match,high,NHI payment,A018514372,爽膚軟膏（貝他每松）,"PEIJISONE CREAM (BETAMETHASONE) ""ATOBI""",BETAMETHASONE (17-VALERATE) 1 MG/GM,D07AC01,`BETAMETHASONE (17-VALERATE) 1` exact matched official ingredient: `BETAMETHASONE (17-VALERATE) 1 MG/GM`,低優先；可後續補官方代碼欄位設計
149,BETAMETHASONE (17-VALERATE) 1,Betaderm Cream(B-Gencin) 貝他健乳膏,,topical,topical_drug,外用藥,杏輝,杏輝,no,likely_correct,ingredient_match,high,NHI payment,A018514372,爽膚軟膏（貝他每松）,"PEIJISONE CREAM (BETAMETHASONE) ""ATOBI""",BETAMETHASONE (17-VALERATE) 1 MG/GM,D07AC01,`BETAMETHASONE (17-VALERATE) 1` exact matched official ingredient: `BETAMETHASONE (17-VALERATE) 1 MG/GM`,低優先；可後續補官方代碼欄位設計
150,Urea,U/Sinpharderm cream 杏化,,topical,topical_drug,外用藥,杏輝,杏輝,no,likely_correct,ingredient_match,high,TFDA license,衛部藥製字第060928號,芙澤適乳膏,Soficome Cream,UREA,,`Urea` exact matched official ingredient: `UREA`; risk=名稱很短,低優先；可後續補官方代碼欄位設計
151,Gentamycin,Gentamycin 紫菌素450gm,,topical,topical_drug,外用藥,杏輝,杏輝,no,likely_correct,brand_match,high,NHI payment,A008956212,"""生達"" 僅大黴素注射液",GENTAMYCIN INJECTION,GENTAMICIN (SULFATE) 40 MG/ML,J01GB03,`Gentamycin` exact matched official en: `GENTAMYCIN INJECTION`,低優先；可後續補官方代碼欄位設計
152,Natural-heparinoid,Heparinoid 喜普理諾Heparinoid,,topical,topical_drug,外用藥,應元,應元,no,likely_correct,brand_match,high,TFDA license,衛署藥輸字第021024號,喜普理諾,HEPARINOID,,,`Heparinoid` exact matched official en: `HEPARINOID`,低優先；可後續補官方代碼欄位設計
